ID;Название;МКБ-10;Возраст;Разработчик;Дата размещения;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список;LLM-кейсы;Метки LLM
170_3;Специфические расстройства развития речи у детей;F80.0, F80.1, F80.2, F80.8;Дети;"Общественная организация ""Российское общество психиатров""";21.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/170_3;C4: 11, C3: 3, C: 3, B1: 1, B3: 1;7;4;0;"Брейн; Гопантеновая кислота; Лизин; Ноотроп; Ноотропил; Финити; Церебролизин";-;"Пантогам; Пирацетам; Фенибут; Церебролизин";45;literature_mention: 19, recommendation: 19, error: 7
680_2;Варикозное расширение вен нижних конечностей;I83, I83.0, I83.1, I83.2, I83.9;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Ассоциация флебологов России, Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Национальная ассоциация экспертов по санаторно-курортному лечению";02.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/680_2;A1: 10, B3: 3, A2: 2, B2: 1, C5: 1;13;1;1;"Альгинат; Венам; Гинкго; Дженерик; Доканол; КАН; Коллаген; Контроль веса; Корона; Ламинар; Метацин; Рутин; Троксерутин";физиотерапия;Троксевазин;44;error: 26, recommendation: 17, literature_mention: 1
681_2;Пропионовая ацидемия /ацидурия;E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российское трансплантологическое общество;14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/681_2;B2: 9, C5: 9, A3: 8, C4: 2, C3: 1;10;2;1;"L-Карнитин; L-изолейцин; Биотин; Глицин; ЗМА Про; Карнитин; Левокарнитин; Лейцин; Треонин; Цина";биологически активная добавка;"Витамины; Глицин";42;recommendation: 33, error: 8, literature_mention: 1
752_1;Нарушения липидного обмена;E78.0, E78.1, E78.2, E78.3, E78.4;Взрослые;"Общероссийская общественная организация «Российское кардиологическое общество», Российская ассоциация эндокринологов, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Автономная некоммерческая организация ""Национальное общество по изучению атеросклероза"", Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров», Евразийского общества терапевтов , Российское общество кардиосоматической реабилитации и вторичной профилактики (РосОКР), Евразийская ассоциация кардиологов";14.02.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/752_1;B2: 12, A1: 4, B4: 2, A2: 2, B1: 2, C4: 1;7;0;0;"Красный дрожжевой рис; Мега; Наара; Омега 3; Омега 3 ПНЖК; Омега-3; иПЕП";-;-;42;recommendation: 30, error: 11, literature_mention: 1
897_1;Острые отравления неопиоидными анальгезирующими, жаропонижающими и противоревматическими средствами;T39;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»";26.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/897_1;C5: 10;9;8;1;"Алфавит; Антиоксидант; Инозин; Метацин; Реамберин; Феникс; Фенилсалицилат; ЦИТОФЛАВИН; Эпистат";антиоксидант;"Анальгин; Глицин; Инозин; Меглюмин; Метамизол; Реамберин; Трифосаденин; Цитофлавин";39;error: 23, recommendation: 10, literature_mention: 6
496_2;Острые лимфобластные лейкозы;C83.5, C91.0, C91.5, C91.7, C91.9;Взрослые;"Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""";10.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/496_2;C4: 9, C5: 7, C: 1;3;0;1;"Антитромбин; Децит; Мать И Дитя";поддерживающая терапия;-;38;recommendation: 37, literature_mention: 1
25_2;Острая респираторная вирусная инфекция (ОРВИ);J00, J02.9, J04.0, J04.1, J04.2, J06.0, J06.9;Дети;Союз педиатров России;13.09.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/25_2;A2: 1;8;7;3;"Актив; Анаферон; Анаферон детский; Антиоксидант; Бутамират; Виферон; Кагоцел; Эргоферон";"антиоксидант; гомеопат; релиз-активный";"Анальгин; Анаферон; Виферон; Имудон; Кагоцел; Метамизол; Эргоферон";37;literature_mention: 29, contraindication: 6, recommendation: 1, error: 1
529_2;Острый лимфобластный лейкоз;C83.5, C91.0, C95.0;Дети;Российское общество детских онкологов и гематологов;29.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/529_2;C5: 15, A3: 3, A1: 2, C4: 2, 3: 2;6;0;1;"L-Тирозин; Антитромбин; Децит; Лизоцим; Полимикс; Тирозин";поддерживающая терапия;-;37;recommendation: 32, error: 5
892_1;Синдром раздраженного кишечника;K52.3, K52.9, K58.0, K58.1, K58.2, K58.3, K58.8, K58.9, K59.1, K59.2, K59.8, K59.9;Взрослые, дети;"Союз педиатров России, Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека"", Российское общество детских гастроэнтерологов, гепатологов и нутрициологов";26.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/892_1;C5: 21, B2: 5, A1: 3, C2: 2, B4: 1;21;3;2;"B 17; Антиоксидант; Бифидобак; Дягиль лекарственный; Иберогаст; Колофорт; Лактитол; Масло мяты перечной; Мелисса; Мелисса лекарственная; Мята; Мята перечная; Расторопша; Расторопша пятнистая; Ромашка; Ромашка аптечная; Симетикон; Синбиотик; Солодка; Солодка голая; Фруктоолигосахарид";"антиоксидант; биологически активная добавка";"Иберогаст; Колофорт; Расторопша пятнистая";37;recommendation: 34, literature_mention: 2, error: 1
96_2;Глаукома первичная открытоугольная;H40.1;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России», Общероссийская общественная организация «Российское общество офтальмологов-глаукоматологов»";17.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/96_2;A1: 18;10;2;2;"Антиоксидант; Коллаген; Кортексин; Ламинар; Мексидол; Проксофелин; Ретиналамин; ТИМ; Тимол; Уролит";"антиоксидант; антиоксидантный";"Кортексин; Мексидол";34;recommendation: 20, literature_mention: 11, error: 3
616_1;Хроническая боль у пациентов пожилого и старческого возраста;M25.5, M54, M54.5, R10.2, R52.1, R52.2, R52.9;Взрослые;Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров»;05.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/616_1;A1: 11, B2: 9;9;1;3;"Агар; Глюкозамин; Ночной сон; Сустагард; Сустагард артро; ХОНДРОГАРД; Хондроитин; Хондроитин сульфат; Хондроитина сульфат";"акупунктура; биологически активная добавка; мануальная терапия";Хондроитин;32;recommendation: 20, error: 9, literature_mention: 3
874_1;Отравление производными барбитуровой кислоты (барбитуратами) (T42.3);T42.3;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»";24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/874_1;C5: 6, C: 2;10;9;2;"Алфавит; Антиоксидант; Валокордин; Глутамин; Инозин; Корвалол; Ноотроп; Реамберин; Эпистат; Этилметилгидроксипиридина сукцинат";"антиоксидант; физиотерапия";"Валокордин; Витамины; ГАМК; Инозин; Корвалол; Меглюмин; Мексидол; Реамберин; Трифосаденин";32;recommendation: 20, error: 12
