ID,Название клинической рекомендации,МКБ-10,Возрастная группа,Разработчик,Дата размещения,Статус применения КР,Ссылка на клиническую рекомендацию,Слова из списка препаратов,Слова из списка маркеров,Слова из списка возможных маркеров
КР537,Рак шейки матки,"C53, D06",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»",17.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/537_3,,,
КР632,Перелом верхней челюсти,S02.4,Взрослые,ООО «Общество специалистов в области челюстно-лицевой хирургии»,17.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/632_2,,,
КР164,Злокачественные новообразования полости рта,"C02.0, C02.1, C02.2, C02.3, C02.8, C02.9, C03, C04, C05.0, C06",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока",16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/164_2,,,
КР633,Перелом скуловой кости,S02.4,Взрослые,ООО «Общество специалистов в области челюстно-лицевой хирургии»,16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/633_2,,,
КР70,"Злокачественные новообразования костей и суставных хрящей: остеосаркома, саркома Юинга","C40, C41, D48.0",Дети,Российское общество детских онкологов и гематологов,16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/70_2,,,
КР66,Рак носоглотки,C11,Дети,Российское общество детских онкологов и гематологов,15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/66_4,,,
КР391,Язвенный колит,K51,Дети,"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""",15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/391_3,,биологически активные добавки; биологически активные добавки,
КР495,Рак желчевыводящей системы,"C22, C23, C24.0, C24.8, C24.9","Взрослые, дети","Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»",15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/495_2,,,
КР360,Острый бронхиолит,"B97.4, J21.0, J21.1, J21.8, J21.9",Дети,Союз педиатров России,14.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/360_3,,,
КР352,"Острый обструктивный ларингит [круп], эпиглоттит, постинтубационный отек гортани","J05.0, J05.1, J38.4, J38.6","Взрослые, дети","Союз педиатров России, Национальная медицинская ассоциация оториноларингологов, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии",14.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/352_3,Метамизол; Метамизол,гомеопат; гомеопат,
КР277,Язвенная болезнь,"K25, K26, K27.0, K27.4, K28.0, K28.4, K31.1, K31.2, K31.6, K31.9",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Ассоциация ""Эндоскопическое общество ""РЭндО"", Российское общество колоректальных хирургов, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""",13.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/277_2,,дилюция; биологически активные добавки; дилюция; биологически активные добавки, БАД 
КР902,Раны мягких тканей челюстно-лицевой области,"S00.1, S00.2, S00.5, S01.1, S01.4, S01.5, S01.7, S01.8, S03.4, S08.1","Взрослые, дети",ООО «Общество специалистов в области челюстно-лицевой хирургии»,13.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/902_1,,,
КР901,Лечение острой травмы зубов у пациентов детского возраста,"S02.5, S03.2",Дети,"Ассоциация общественных объединений ""Стоматологическая Ассоциация России""",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/901_1,,,
КР496,Острые лимфобластные лейкозы,"C83.5, C91.0, C91.5, C91.7, C91.9",Взрослые,"Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/496_2,,,
КР900,Хронический вирусный гепатит B,B18.1,Взрослые,"Российское общество по изучению печени, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/900_1,Адеметионин; Ademetionine; Heptral; Инозин; Меглюмин; Реамберин; Меглюмина натрия сукцинат; Ремаксол,,
КР250,Ревматоидный артрит,"M05, M06",Взрослые,Ассоциация ревматологов России,28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/250_3,,,
КР9,Острый пиелонефрит,"N10, N13.6, N15.1, N39.0",Взрослые,"Общероссийская общественная организация ""Российское общество урологов""",28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/9_3,клюква,,
КР655,Хронический бронхит,"J40, J41, J42",Взрослые,Российское респираторное общество,28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/655_2,Ренгалин; Гвайфенезин; Ренгалин; Тимьян,антиоксидант,
КР601,"Психические и поведенческие расстройства, вызванные употреблением табака (никотина). Синдром зависимости от табака, синдром отмены табака у взрослых","F17.2, F17.3",Взрослые,"Общественная организация ""Российское общество психиатров"", Российское респираторное общество",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/601_2,Тетраметилтетраазабициклооктандион; фитотерапия; фитотерапия; фитотерапия,гомеопатия; гомеопат; гомеопатия; гомеопатия; гомеопат, ГАМК 
КР551,Гастроинтестинальные стромальные опухоли,"C15, C16, C17, C18, C19, C20, C48",Взрослые,Ассоциация онкологов России,27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/551_3,,,
КР534,Вторичное злокачественное новообразование головного мозга и мозговых оболочек,C79.3,Взрослые,"Ассоциация нейрохирургов России, Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/534_3,,,
КР899,"Психические и поведенческие расстройства, вызванные употреблением алкоголя Синдром зависимости от алкоголя",F10.2,"Взрослые, дети","Общественная организация ""Российское общество психиатров""",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/899_1,Витамины; хмель,, ГАМК 
КР898,Сепсис (у взрослых),"A40, A40.0, A40.1, A40.2, A40.3, A40.8, A40.9, A41, A41.0, A41.1, A41.2, A41.3, A41.4, A41.5, A41.8, A41.9, B37.7",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Корпоративная некоммерческая организация ""Ассоциация анестезиологов – реаниматологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Межрегиональная общественная организация «Альянс клинических химиотерапевтов и микробиологов», Межрегиональная общественная организация врачей и медицинских сестер «Сепсис Форум», Общероссийская общественная организация «Российское общество скорой медицинской помощи», Национальная ассоциация специалистов по тромбозам, клинической гемостазиологии и гемореологии, Российская Ассоциация специалистов по лечению хирургических инфекций",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/898_1,,,
КР590,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Абстинентное состояние (синдром отмены) с делирием","F10.4, F11.4, F13.4, F19.4",Взрослые,"Общественная организация ""Российское общество психиатров"", Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов""",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/590_2,Глицин; Глицин,, ГАМК 
КР897,"Острые отравления неопиоидными анальгезирующими, жаропонижающими и противоревматическими средствами",T39,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/897_1,Метамизол; Инозин; Меглюмин; Метамизол; Реамберин; Меглюмина натрия сукцинат,, АТФ 
КР895,Краниальные мононейропатии у взрослых,"B02.2, G44.0, G50.0, G50.1, G50.8, G50.9, G51.0, G51.1, G51.2, G51.3, G51.4, G51.8, G51.9, G52.0, G52.1, G52.2, G52.3, G52.7, G52.8, G52.9, G53.0, G90.0",Взрослые,"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", ООО «Общество специалистов в области челюстно-лицевой хирургии», Ассоциация специалистов по клинической нейрофизиологии, Некоммерческая организация «Ассоциация интервенционного лечения боли»",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/895_1,Витамины; Le cran; Липоевая кислота; Тиоктовая кислота; липоевая кислота; alpha lipoic acid,антиоксидант; психосоматика, АТФ 
КР896,Перелом верхней челюсти и скуловой кости,S02.4,Дети,ООО «Общество специалистов в области челюстно-лицевой хирургии»,26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/896_1,Metamizole; Dipyrone,,
КР894,Гломерулярные болезни: иммуноглобулин А-нефропатия,"N00.1, N00.3, N00.4, N00.7, N00.8, N01.1, N01.3, N01.4, N01.7, N01.8, N02.1, N02.3, N02.4, N02.7, N02.8, N03.1, N03.3, N03.4, N03.7, N03.8, N04.1, N04.3, N04.4, N04.7, N04.8, N06.1, N06.3, N06.4, N06.7, N06.8, N08.2, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9","Взрослые, дети","Союз педиатров России, Творческое объединение детских нефрологов, Национальная Ассоциация нефрологов",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/894_1,,,
КР893,Опухоли невыявленной первичной локализации,"C76, C77, C78, C79, C80, D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47, D48","Взрослые, дети","Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Региональная общественная организация ""Общество Специалистов Поддерживающей Терапии в Онкологии"", Российское общество детских онкологов и гематологов",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/893_1,Витамины,,
КР883,Другие плазмоклеточные новообразования,C90,Взрослые,"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/883_1,,,
КР682,Болезнь Крона,"K50, K52.3, K52.9",Дети,"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/682_2,,,
КР891,Острый бронхит,J20,Взрослые,"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское респираторное общество, Межрегиональная ассоциация специалистов респираторной медицины (МАСРМ)",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/891_1,Ренгалин; Гвайфенезин; Ренгалин; Тимьян,,
КР892,Синдром раздраженного кишечника,"K52.3, K52.9, K58.0, K58.1, K58.2, K58.3, K58.8, K58.9, K59.1, K59.2, K59.8, K59.9","Взрослые, дети","Союз педиатров России, Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека"", Российское общество детских гастроэнтерологов, гепатологов и нутрициологов",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/892_1,Колофорт; Иберогаст; Колофорт; Расторопша пятнистая; солодка; мята перечная; Колофорт,биологически активная добавка; антиоксидант; биологически активная добавка,
КР889,Хронический миелоидный лейкоз,C92.1,"Взрослые, дети","Национальное общество детских гематологов, онкологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/889_1,Витамины,,
КР888,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ [алкоголя, опиоидов, каннабиноидов, седативных и снотворных веществ, кокаина, других стимуляторов (кроме кофеина), летучих растворителей, никотина, галлюциногенов и нескольких психоактивных веществ]. Острая интоксикация","F10.0, F11.0, F12.0, F13.0, F14.0, F15.0, F16.0, F17.0, F18.0, F19.0","Взрослые, дети","Общественная организация ""Российское общество психиатров""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/888_1,Инозин; Меглюмин; Мексидол; Этилметилгидроксипиридина сукцинат; Меглюмина натрия сукцинат; Цитофлавин; Полиметилсилоксана полигидрат,антиоксидант,
КР890,Полипозный риносинусит,"J33.0, J33.1, J33.8, J33.9",Взрослые,Национальная медицинская ассоциация оториноларингологов,26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/890_1,,,
КР886,Камни нижних отделов мочевых путей,"N21.0, N21.1, N21.8, N21.9","Взрослые, дети","Общероссийская общественная организация ""Российское общество урологов"", Ассоциация специалистов детских урологов-андрологов",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/886_1,Витамины,,
КР887,Киста почки,"N28.1, Q61.0, Q61.8",Взрослые,"Общероссийская общественная организация ""Российское общество урологов""",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/887_1,,,
КР885,"Токсическое действие окиси углерода. Токсическое действие других газов, дымов и паров","T58, T59","Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/885_1,Инозин; Меглюмин; Реамберин; Аденозинтрифосфат,антиоксидант,
КР882,Токсическое действие разъедающих веществ,T54,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/882_1,Метамизол; Димефосфон; Инозин; Меглюмин; Мексидол; Метамизол; Реамберин; Меглюмина натрия сукцинат; Ремаксол; Эмоксипин,,
КР884,Токсическое действие галогенпроизводных алифатических и ароматических углеводородов,T53,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/884_1,Меглюмин; Реамберин; Меглюмина натрия сукцинат,,
КР880,"Отравление психотропными средствами, не классифицированное в других рубриках",T43,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/880_1,Глицин; Идебенон; Инозин; Меглюмин; Ноотропы; Пирацетам; Пирацетам; Реамберин; Меглюмина натрия сукцинат; Фонтурацетам; Глицин,антиоксидант, ГАМК 
КР876,Воздействие вибрации (Вибрационная болезнь),"G56.0, G62.8, I73.0, M19.2, M54.1, M77.2, T75.2, Z57.7",Взрослые,Ассоциация врачей и специалистов медицины труда,25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/876_1,Актовегин; Actovegin; Витамины; Липоевая кислота; Тиоктовая кислота; липоевая кислота,антиоксидант; психосоматика,
КР28,Ожирение,"E66.0, E66.1, E66.2, E66.8, E66.9",Взрослые,"Российская ассоциация эндокринологов, Общество бариатрических хирургов",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/28_3,Витамины; Поливитамины,антиоксидант, БАД 
КР881,Митральная недостаточность,"I05.1, I05.2, I05.8, I34.0, I34.1, I34.8, I34.9, Q23.3",Взрослые,"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Российское общество кардиосоматической реабилитации и вторичной профилактики (РосОКР)",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/881_1,,,
КР878,"Энтероколит, вызванный Clostridioides difficile (C. difficile)","A04.7, K52.8",Взрослые,"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация, Российское общество колоректальных хирургов, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ), Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека"", Российское общество профилактики неинфекционных заболеваний, Национальная ассоциация специалистов по контролю инфекционных и неинфекционных болезней (НАСКИ)",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/878_1,Глицин; Хондроитин; Глицин,,
КР875,Острые кишечные инфекции (ОКИ) у взрослых,"A04.0, A04.1, A04.2, A04.3, A04.4, A04.5, A04.6, A04.7, A04.8, A04.9, A05.0, A05.3, A05.4, A05.8, A05.9, A08.0, A08.1, A08.2, A08.3, A08.4, A08.5, A09, B34.1",Взрослые,Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ),25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/875_1,,,
КР879,"Отравления производным амфетамина, синтетическими катинонами и прекурсорами ГОМК","T40.6, T40.9","Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/879_1,Инозин; Меглюмин; Меглюмина натрия сукцинат; Аденозинтрифосфат,, ГАМК 
КР877,Желчнокаменная болезнь,"K80.0, K80.1, K80.2, K80.3, K80.4, K80.5, K80.8, K82.0, K82.1, K82.2, K82.3, K82.4, K82.8, K83.1, K83.3, K83.8, K87.0, K91.5",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Ассоциация ""Эндоскопическое общество ""РЭндО""",25.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/877_1,Metamizole; Витамины,,
КР874,Отравление производными барбитуровой кислоты (барбитуратами) (T42.3),T42.3,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/874_1,Валокордин; Корвалол; Витамины; Инозин; Корвалол; Меглюмин; Реамберин; Меглюмина натрия сукцинат; Аденозинтрифосфат,антиоксидант,
КР871,Множественные переломы мозгового и лицевого отделов черепа,"S02.0, S02.1, S02.4, S02.6, S02.7, S02.8, S02.9, S07","Взрослые, дети","Ассоциация нейрохирургов России, Ассоциация травматологов-ортопедов России, ООО «Общество специалистов в области челюстно-лицевой хирургии», Всероссийское Общество по детской нейрохирургии",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/871_1,,,
КР673,Хронический вирусный гепатит D (ХВГD) у взрослых,B18.0,Взрослые,"Российская Гастроэнтерологическая Ассоциация, Российское общество по изучению печени, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/673_2,,,
КР873,Токсическое действие метанола и этиленгликоля,"T51.1, T52.3","Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/873_1,Глицин; Меглюмин; Глицин,,
КР129,"Агрессивные нефолликулярные лимфомы - диффузная В-клеточная крупноклеточная лимфома, В-клеточная лимфома высокой степени злокачественности с перестройкой генов c-MYC и BCL2/BCL6, первичная медиастинальная В-клеточная лимфома, медиастинальная лимфома серой зоны, лимфома Беркитта, плазмобластная лимфома.","C83.3, C83.7, C83.8, C83.9, C85.2, C85.7, C91.8","Взрослые, дети","Ассоциация онкологов России, Национальное гематологическое общество, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/129_3,,,
КР872,Отравления бензодиазепинами,T42.4,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/872_1,Инозин; Меглюмин; Реамберин; Меглюмина натрия сукцинат,потенцирование; потенцирование, ГАМК 
КР867,Дистония,"G24, G24.0, G24.1, G24.2, G24.3, G24.4, G24.5, G24.8, G24.9","Взрослые, дети","Ассоциация нейрохирургов России, Всероссийское общество неврологов, Межрегиональная общественная организация специалистов ботулинотерапии, Общероссийская общественная организация ""Союз реабилитологов России"", Национальная ассоциация детских реабилитологов, Межрегиональная общественная организация «Общество специалистов по функциональной и стереотаксической нейрохирургии»",24.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/867_1,,,
