=== СВОДКА ПО КЛИНИЧЕСКИМ РЕКОМЕНДАЦИЯМ ===

ID;Название;МКБ-10;Возраст;Разработчик;Дата;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список
388_3;Язвенная болезнь желудка и/или двенадцатиперстной кишки;K25, K26;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/388_3;MEDIQ;Нифурател-СЗ;С5;Препарат «Нифурател-СЗ» упоминается в контексте рекомендации четырехкомпонентной терапии при неэффективности стандартной тройной терапии. Он включается в схему лечения в качестве альтернативы тетрацик;ри неэффективности стандартной тройной терапии) может быть рекомендована классическая четырехкомпонентная терапия на основе висмута трикалия дицитрата** (противопоказан до 4 лет) в комбинации с ИПН, #тетрациклином (разрешен детям с 8 лет) и #метронидазолом** (вторая линия терапии или альтернативный вариант первой линии терапии) [11, 82, 119]. (УРР С УДД 5) Комментарии: Квадротерапия с #висмута трикалия дицитратом** применяется так же, как основная схема терапии второй линии при неэффективности с
388_3;Язвенная болезнь желудка и/или двенадцатиперстной кишки;K25, K26;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/388_3;MEDIQ;Нифурател-СЗ;С5;Препарат Нифурател-СЗ упоминается в контексте эрадикационной терапии для детей с язвой желудка и/или двенадцатиперстной кишки. Он рекомендуется в качестве компонента четырехкомпонентной терапии в соче;ании с #висмута трикалия дицитратом** (Приложение А3.4) Как вариант эрадикационной терапии детям с язвой желудка и/или двенадцатиперстной кишки(например, при непереносимости Бета-лактамных антибактериальных препаратов: пенициллинов и при неэффективности стандартной тройной терапии) может быть рекомендована классическая четырехкомпонентная терапия на основе висмута трикалия дицитрата** (противопоказан до 4 лет) в комбинации с ИПН, #тетрациклином (разрешен детям с 8 лет) и #метронидазолом** (втора
388_3;Язвенная болезнь желудка и/или двенадцатиперстной кишки;K25, K26;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/388_3;MEDIQ;Нифурател;С5;Препарат Нифурател рекомендуется в качестве компонента четырехкомпонентной терапии при неэффективности стандартной тройной терапии.;ри неэффективности стандартной тройной терапии) может быть рекомендована классическая четырехкомпонентная терапия на основе висмута трикалия дицитрата** (противопоказан до 4 лет) в комбинации с ИПН, #тетрациклином (разрешен детям с 8 лет) и #метронидазолом** (вторая линия терапии или альтернативный вариант первой линии терапии) [11, 82, 119]. (УРР С УДД 5) Комментарии: Квадротерапия с #висмута трикалия дицитратом** применяется так же, как основная схема терапии второй линии при неэффективности с
388_3;Язвенная болезнь желудка и/или двенадцатиперстной кишки;K25, K26;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/388_3;MEDIQ;Нифурател;С5;Препарат Нифурател рекомендуется в качестве компонента четырехкомпонентной терапии для эрадикации H. pylori у детей с язвой желудка или двенадцатиперстной кишки.;ании с #висмута трикалия дицитратом** (Приложение А3.4) Как вариант эрадикационной терапии детям с язвой желудка и/или двенадцатиперстной кишки(например, при непереносимости Бета-лактамных антибактериальных препаратов: пенициллинов и при неэффективности стандартной тройной терапии) может быть рекомендована классическая четырехкомпонентная терапия на основе висмута трикалия дицитрата** (противопоказан до 4 лет) в комбинации с ИПН, #тетрациклином (разрешен детям с 8 лет) и #метронидазолом** (втора
382_1;Фибрилляция и трепетание предсердий у взрослых;I48.0, I48.1, I48.2, I48.3, I48.4, I48.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/382_1;MEDIQ;Оксин;IIaC, IIbC2;"Препарат ""Оксин"" не упоминается в тексте, но в контексте обсуждаются различные комбинации лекарственных средств, включая ацетилсалициловую кислоту и клопидогрел, которые могут быть альтернативой ""Окси";оз стента в анамнезе, высокий балл по шкале SYNTAX[541]). В пользу сокращения сроков ТАТ указывают наличие высокого риска кровотечений и низкий атеротромботический риск (определенный, в том числе с использованием шкал REACH[542] или SYNTAX[541]). Алгоритм назначения многокомпонентной терапии у больного ФП после планового ЧКВ указан в таблице П5 приложения Б. При ОКС у пациентов с ФП и высоким риском инсульта, которым проводится ЧКВ со стентированием, рекомендовано назначение тройной антитромботи
382_1;Фибрилляция и трепетание предсердий у взрослых;I48.0, I48.1, I48.2, I48.3, I48.4, I48.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/382_1;MEDIQ;Лаппаконитин;Не определенНе определен;Препарат Лаппаконитин упоминается в контексте его применения и противопоказаний. Он описывается как антиаритмический препарат IС класса, блокатор быстрых Na-каналов, который может использоваться для л;ТП (таблица П16 приложения Г2). Диэтиламинпропионил-этоксикарбонил- аминофенотиазин — антиаритмический препарат фенотиазинового ряда, блокатор быстрых Na-каналов (антиаритмический препарат IС класса). Обладает свойствами блокатора кальциевых каналов. Применяется для сохранения синусового ритма при пароксизмальной ФП и персистирующей ФП после кардиоверсии. Диэтиламинпропионил-этоксикарбониламинофенотиазин может быть использован для лечения пациентов без органического заболевания сердца и у пациен
382_1;Фибрилляция и трепетание предсердий у взрослых;I48.0, I48.1, I48.2, I48.3, I48.4, I48.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/382_1;MEDIQ;Лаппаконитина гидробромид;Не определенНе определен;Препарат Лаппаконитина гидробромид упоминается как антиаритмическое средство, которое может быть использовано для лечения пациентов с определенными показаниями, но при этом имеет противопоказания и тр;ТП (таблица П16 приложения Г2). Диэтиламинпропионил-этоксикарбонил- аминофенотиазин — антиаритмический препарат фенотиазинового ряда, блокатор быстрых Na-каналов (антиаритмический препарат IС класса). Обладает свойствами блокатора кальциевых каналов. Применяется для сохранения синусового ритма при пароксизмальной ФП и персистирующей ФП после кардиоверсии. Диэтиламинпропионил-этоксикарбониламинофенотиазин может быть использован для лечения пациентов без органического заболевания сердца и у пациен
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Мульти-табс Тинейджер;С5;Препарат «Мульти-табс Тинейджер» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Мульти-табс Интенсив;С5;Препарат «Мульти-табс Интенсив» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Педивит форте;С5;Препарат «Педивит форте» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Пиковит;С5;Препарат «Пиковит» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Гексавит;С5;Препарат Гексавит упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Витаминная смесь Н32147;С5;В тексте клинической рекомендации упоминается назначение витаминов и поливитаминов с минеральными веществами, включая витаминную смесь, для коррекции нутритивного статуса у пациентов с ММА. Уровень уб;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;В-Витакапс;С5;Препарат «В-Витакапс» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Гендевит;С5;Препарат «Гендевит» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Ревит;С5;Препарат «Ревит» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Гериавит-Фарматон;С5;Препарат «Гериавит-Фарматон» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Пиковит форте;С5;Пиковит форте упоминается как рекомендуемый препарат для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Поливитамины;С5;Препарат «Поливитамины» рекомендуется пациентам с ММА по показаниям для коррекции нутритивного статуса.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Ундевит;С5;Препарат Ундевит упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;MEDIQ;Адивит;С5;Препарат «Адивит» упоминается в контексте рекомендации по назначению витаминов и поливитаминов с минеральными веществами для коррекции нутритивного статуса у пациентов с ММА.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;BLACKLIST;Витамины;С5;Препарат «Витамины» упоминается в контексте рекомендации для пациентов с ММА по показаниям. Рекомендуется принимать витамины и поливитамины с минеральными веществами для коррекции нутритивного статуса;"ррекции обмена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необход"
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;BLACKLIST;Поливитамины;С5;Препарат «Поливитамины» рекомендуется пациентам с ММА по показаниям в сочетании с минеральными веществами для коррекции нутритивного статуса.;"ена является антибактериальная терапия с целью подавления активности патогенных и условно патогенных микроорганизмов. Назначают курсы #метронидазола**, в дозе 10-20 мг/кг/сут в течение 10-14 дней; через 3-4 недели курс при необходимости повторяют или, в случае непереносимости #метронидазола** или чередуют с #метронидазолом** с интервалом 1 месяц — #амоксициллин** (50мг/кг) или #Ко-тримоксазол [Сульфаметоксазол + Триметоприм]** (20 мг/кг) [1, 31, 32, 50]. Чередование препаратов необходимо для про"
39_3;Тетрада Фалло;Q21.3;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Национальная курортная ассоциация";08.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/39_3;MARKER;поддерживающая терапия;С5;Поддерживающая терапия упоминается в контексте консервативного лечения неоперированных пациентов с целью отсрочки хирургической коррекции порока. Она рассматривается как индивидуальный подход, проводи;рафии) как альтернативы коронарной ангиографии у взрослых пациентов с коррегированной тетрадой Фалло (мужчинам старше 40 лет и женщинами с менопаузой независимо от возраста) перед перед хирургическим лечением при низкой вероятностью ИБС или у которых стандартная коронарография технически невозможна или связана с высоким риском [17,68-69]. ЕОК/РКО IIb С (УУР С, УДД 5) 2.5. Иные диагностические исследования  Рекомендуется перед выпиской из стационара всем пациентам с целью контроля после выполнен
391_3;Язвенный колит;K51;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""";15.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/391_3;MARKER;биологически активные добавки;С5;Специальные диеты и биологически активные добавки не рекомендуются для лечения ЯК у детей.;"асностью ранее проводившейся терапии, а также риском развития осложнений ЯК [65, 66]. Целью терапии является достижение клинической, эндоскопической и (в идеале) гистологической ремиссии [50, 67]. При достижении ремиссии неоперированный пациент должен оставаться на постоянной поддерживающей (противорецидивной) терапии. 3.1. Консервативное лечение 3.1.1 Диетотерапия  Нутритивный статус и рост детей с ЯК рекомендуется регулярно оценивать; при необходимости рекомендовано применять нутритивную подд"
391_3;Язвенный колит;K51;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""";15.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/391_3;MARKER;поддерживающая терапия;Не определенНе определен;Препарат «поддерживающая терапия» упоминается в контексте назначения детям с определенным весом и возрастом. Дозировка и продолжительность приема указаны, что подтверждает его использование в качестве;етям с массой тела <40 кг – начинают с ½ дозы взрослых, детям с массой тела >40 кг – дозировки для взрослых. Детям любого возраста пероральный #месалазин** может назначаться в дозе от 60 до 75 мг/кг (не более 4 г/сутки) и, при необходимости, >75 до 80 мг/кг в сутки (не более 4,8 г/сутки) в 2 приема [8]. Для усиления эффективности терапии при поражении дистальных отделов толстого кишечника применяются ректальные формы #месалазина** в дозе 25 мг/кг 1 раз в сутки [8]. Сульфасалазин** применяется в 
