ID,Название клинической рекомендации,МКБ-10,Возрастная группа,Разработчик,Дата размещения,Статус применения КР,Ссылка на клиническую рекомендацию,Слова из списка препаратов,Слова из списка маркеров,Слова из списка возможных маркеров
КР904,Переломы бедренной кости (кроме проксимального отдела бедренной кости),"S72.3, S72.4, S72.7, S72.8, S72.9, T02.3, T02.5, T02.6, T93.1","Взрослые, дети",Ассоциация травматологов-ортопедов России,20.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/904_1,,,
КР74,Рак щитовидной железы,C73,Дети,Российское общество детских онкологов и гематологов,20.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/74_2,,,
КР903,Острый панкреатит,"K85.0, K85.1, K85.2, K85.3, K85.8, K85.9","Взрослые, дети","Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Общероссийская общественная организация ""Российское общество хирургов"", Региональная общественная организация ""Санкт-Петербургское радиологическое общество"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Некоммерческое партнерство ""Северо-Западная ассоциация парентерального и энтерального питания"", Корпоративная некоммерческая организация ""Ассоциация анестезиологов – реаниматологов"", Международная общественная организация ""Ассоциация гепатопанкреатобилиарных хирургов стран СНГ""",20.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/903_1,"Витамины:  или потреблять в таблетированном виде, равно как и 
другие витамины и витаминно-минеральные комплексы. Окончание диеты не должн; Меглюмин: ия 
хлорид+Натрия 
ацетат+Натрия хлорид+Яблочная кислота**, меглюмина натрия сукцинат**) рекомендуется 
всем пациентам в I фазе ; Меглюмина натрия сукцинат: ия 
хлорид+Натрия 
ацетат+Натрия хлорид+Яблочная кислота**, меглюмина натрия сукцинат**) рекомендуется 
всем пациентам в I фазе ОП со среднетяжёл",,
КР537,Рак шейки матки,"C53, D06",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»",17.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/537_3,,,
КР632,Перелом верхней челюсти,S02.4,Взрослые,ООО «Общество специалистов в области челюстно-лицевой хирургии»,17.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/632_2,,,
КР164,Злокачественные новообразования полости рта,"C02.0, C02.1, C02.2, C02.3, C02.8, C02.9, C03, C04, C05.0, C06",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока",16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/164_2,,,
КР633,Перелом скуловой кости,S02.4,Взрослые,ООО «Общество специалистов в области челюстно-лицевой хирургии»,16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/633_2,,,
КР70,"Злокачественные новообразования костей и суставных хрящей: остеосаркома, саркома Юинга","C40, C41, D48.0",Дети,Российское общество детских онкологов и гематологов,16.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/70_2,,,
КР66,Рак носоглотки,C11,Дети,Российское общество детских онкологов и гематологов,15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/66_4,,,
КР391,Язвенный колит,K51,Дети,"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""",15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/391_3,,"биологически активные добавки: ия 
[30, 35]. 
(УУР – С; УДД – 5) 
 
Специальная диета или биологически активные добавки неэффективны и не 
рекомендованы к использованию для индукц; биологически активные добавки: ия 
[30, 35]. 
(УУР – С; УДД – 5) 
 
Специальная диета или биологически активные добавки неэффективны и не 
рекомендованы к использованию для индукц",
КР495,Рак желчевыводящей системы,"C22, C23, C24.0, C24.8, C24.9","Взрослые, дети","Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»",15.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/495_2,,,
КР360,Острый бронхиолит,"B97.4, J21.0, J21.1, J21.8, J21.9",Дети,Союз педиатров России,14.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/360_3,,,
КР352,"Острый обструктивный ларингит [круп], эпиглоттит, постинтубационный отек гортани","J05.0, J05.1, J38.4, J38.6","Взрослые, дети","Союз педиатров России, Национальная медицинская ассоциация оториноларингологов, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии",14.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/352_3,"Метамизол: ю кислоту** и 
нимесулид. Крайне нежелательно использование метамизола натрия у детей в связи с 
высоким риском развития агрануло; Метамизол: ю кислоту** и 
нимесулид. Крайне нежелательно использование метамизола натрия у детей в связи с 
высоким риском развития агрануло","гомеопат: ческая эффективность 
растительных препаратов и витамина С, гомеопатических препаратов. 
Исход крупа при своевременной диагности; гомеопат: ческая эффективность 
растительных препаратов и витамина С, гомеопатических препаратов. 
Исход крупа при своевременной диагности",
КР277,Язвенная болезнь,"K25, K26, K27.0, K27.4, K28.0, K28.4, K31.1, K31.2, K31.6, K31.9",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Ассоциация ""Эндоскопическое общество ""РЭндО"", Российское общество колоректальных хирургов, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""",13.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/277_2,,"дилюция: трого кровотечения, даже при его интенсивном характере, гемодилюция не 
успевает развиться и поэтому все эти показатели могут м; биологически активные добавки: мы; 
A07FA02: 
Сахаромицеты 
Буларди; а также содержащих их биологически активные добавки (БАД) к пище и 
функциональные пищевые продукты), доказавши; дилюция: трого кровотечения, даже при его интенсивном характере, гемодилюция не 
успевает развиться и поэтому все эти показатели могут м; биологически активные добавки: мы; 
A07FA02: 
Сахаромицеты 
Буларди; а также содержащих их биологически активные добавки (БАД) к пище и 
функциональные пищевые продукты), доказавши"," БАД : авших свою 
эффективность метабиотиков (постбиотиков) в виде БАД к пище для повышения 
эффективности и переносимости лечения "
КР902,Раны мягких тканей челюстно-лицевой области,"S00.1, S00.2, S00.5, S01.1, S01.4, S01.5, S01.7, S01.8, S03.4, S08.1","Взрослые, дети",ООО «Общество специалистов в области челюстно-лицевой хирургии»,13.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/902_1,,,
КР901,Лечение острой травмы зубов у пациентов детского возраста,"S02.5, S03.2",Дети,"Ассоциация общественных объединений ""Стоматологическая Ассоциация России""",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/901_1,,,
КР496,Острые лимфобластные лейкозы,"C83.5, C91.0, C91.5, C91.7, C91.9",Взрослые,"Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/496_2,,,
КР900,Хронический вирусный гепатит B,B18.1,Взрослые,"Российское общество по изучению печени, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)",10.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/900_1,"Адеметионин:  пациентов лечебным питанием». 
• 
Рекомендуется назначение адеметионина** и/или урсодезоксихолевой кислоты**, 
пациентам с ХВГВ пр; Ademetionine: ttigopalratnam M. P. , Singh T., Ravishankar A. C. Heptral (ademetionine) in 
patients with intrahepatic cholestasis in chronic live; Heptral: Virukalpattigopalratnam M. P. , Singh T., Ravishankar A. C. Heptral (ademetionine) in 
patients with intrahepatic cholestasis i; Инозин: ,128] 
• 
Рекомендовано назначение фиксированной комбинации инозин + меглюмин + 
метионин + никотинамид + янтарная кислота** п; Меглюмин: 
Рекомендовано назначение фиксированной комбинации инозин + меглюмин + 
метионин + никотинамид + янтарная кислота** пациентам с ; Реамберин: Стельмах В.В., 
Коваленко А.Л., Эсауленко Е.В., Исаков В.А. Реамберин — средство патогенетической 
терапии острых и хронических в; Меглюмина натрия сукцинат: 00 – 1200 мл 5% раствора декстрозы** 
внутривенно капельно, меглюмина натрия сукцинат**- со скоростью до 90 
капель/мин (1–4,5 мл/мин) — 400–800 ; Ремаксол: 
Максимов С.Л., Баранова И.П. Гепатопротективная активность Ремаксола при хронических 
поражениях печени. Клиническая медицина. ",,
КР250,Ревматоидный артрит,"M05, M06",Взрослые,Ассоциация ревматологов России,28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/250_3,,,
КР9,Острый пиелонефрит,"N10, N13.6, N15.1, N39.0",Взрослые,"Общероссийская общественная организация ""Российское общество урологов""",28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/9_3,"клюква: ельств - 
5) 
Комментарий: Используются растительные сборы (клюква). 
Уровень убедительности рекомендаций С (уровень достоверн",,
КР655,Хронический бронхит,"J40, J41, J42",Взрослые,Российское респираторное общество,28.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/655_2,"Ренгалин: /амброксол**, сальбутамол**/левосальбутамол и 
гвайфенезин, ренгалин, а 
также в качестве альтернативых препаратов мукоактивные ; Гвайфенезин: ве бромгексин/амброксол**, сальбутамол**/левосальбутамол и 
гвайфенезин, ренгалин, а 
также в качестве альтернативых препаратов мук; Ренгалин: /амброксол**, сальбутамол**/левосальбутамол и 
гвайфенезин, ренгалин, а 
также в качестве альтернативых препаратов мукоактивные ; Тимьян: 
препараты, включающие Плюща обыкновенного листьев экстракт+Тимьяна травы
25
экстракт (в форме сироп) и Первоцвета корней экст","антиоксидант: уть, 
что 
обладая 
одновременно 
противовоспалительной 
и 
антиоксидантной 
активностью, 
некоторые 
из 
них 
(амброксол**, 
бромге",
КР601,"Психические и поведенческие расстройства, вызванные употреблением табака (никотина). Синдром зависимости от табака, синдром отмены табака у взрослых","F17.2, F17.3",Взрослые,"Общественная организация ""Российское общество психиатров"", Российское респираторное общество",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/601_2,"Тетраметилтетраазабициклооктандион: т недостатками препаратов этого класса. 
Также используются тетраметилтетраазабициклооктандион., Психологическая 
поддержка 
Для 
любого 
человека, 
котор; фитотерапия: арическая 
гипокситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомен; фитотерапия: арическая 
гипокситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомен; фитотерапия: арическая 
гипокситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомен","гомеопатия: покситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомендаций В (Уро; гомеопат: покситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомендаций В (У; гомеопатия: покситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомендаций В (Уро; гомеопатия: покситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомендаций В (Уро; гомеопат: покситерапия, 
краниальная 
электростимуляция, фитотерапия, гомеопатия и пр.) [32-37]. 
Уровень убедительности рекомендаций В (У"," ГАМК : стом бензодиазепинового или барбитурового сайтов 
рецепторов ГАМК и поэтому не обладает недостатками препаратов этого класса. "
КР551,Гастроинтестинальные стромальные опухоли,"C15, C16, C17, C18, C19, C20, C48",Взрослые,Ассоциация онкологов России,27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/551_3,,,
КР534,Вторичное злокачественное новообразование головного мозга и мозговых оболочек,C79.3,Взрослые,"Ассоциация нейрохирургов России, Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/534_3,,,
КР899,"Психические и поведенческие расстройства, вызванные употреблением алкоголя Синдром зависимости от алкоголя",F10.2,"Взрослые, дети","Общественная организация ""Российское общество психиатров""",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/899_1,"Витамины: микроорганизмы – обитатели кишечника, которые вырабатывают 
витамины группы В. Т.е. постепенно, по истощении витаминного депо (з; хмель: иям присоединяются: 
А) Алкогольный абстинентный синдром (похмелье, желание опохмелиться с целью 
улучшить свое физическое со",," ГАМК : развития и поддержания СЗА большое значение имеет и 
система ГАМК и глутамата. Предполагается, что влияние алкоголя на опосред"
КР898,Сепсис (у взрослых),"A40, A40.0, A40.1, A40.2, A40.3, A40.8, A40.9, A41, A41.0, A41.1, A41.2, A41.3, A41.4, A41.5, A41.8, A41.9, B37.7",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Корпоративная некоммерческая организация ""Ассоциация анестезиологов – реаниматологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Межрегиональная общественная организация «Альянс клинических химиотерапевтов и микробиологов», Межрегиональная общественная организация врачей и медицинских сестер «Сепсис Форум», Общероссийская общественная организация «Российское общество скорой медицинской помощи», Национальная ассоциация специалистов по тромбозам, клинической гемостазиологии и гемореологии, Российская Ассоциация специалистов по лечению хирургических инфекций",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/898_1,,,
КР590,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Абстинентное состояние (синдром отмены) с делирием","F10.4, F11.4, F13.4, F19.4",Взрослые,"Общественная организация ""Российское общество психиатров"", Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов""",27.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/590_2,"Глицин: нейротрансмиссии. Алкоголь 
конкурентно тормозит связывание глицина с N-метил-D-аспартатными (NMDA) 
7 
 
рецепторами головног; Глицин: нейротрансмиссии. Алкоголь 
конкурентно тормозит связывание глицина с N-метил-D-аспартатными (NMDA) 
7 
 
рецепторами головног",," ГАМК : м 
алкоголя вызывает повышенное высвобождение нейромедиатора ГАМК и повышает 
чувствительность рецептора ГАМКA, что приводит к"
КР897,"Острые отравления неопиоидными анальгезирующими, жаропонижающими и противоревматическими средствами",T39,"Взрослые, дети","Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/897_1,"Метамизол: острый интерстициальный 
нефрит (фенилбутазон, индометацин, метамизол натрия, ибупрофен**). 
Как правило, слабо метаболизирующиес; Инозин: чения за-
болеваний нервной системы (действующее вещество – инозин + никотинамид + 
рибофлавин + янтарная кислота**) [34, 86, ; Меглюмин: ез-
интоксикационного средства, применение инфузии раствора меглюмина натрия 
сукцината**. Взрослым – 1-4,5 мл/мин, курс терапии; Метамизол: острый интерстициальный 
нефрит (фенилбутазон, индометацин, метамизол натрия, ибупрофен**). 
Как правило, слабо метаболизирующиес; Реамберин: . – 2015. – №13 – С. 8-12. 
73. 
Ливанов Г.А. и др. Влияние реамберина на течение острых тяжелых 
отравлений нейротропными ядами ; Меглюмина натрия сукцинат: е на водно-электро-
литный баланс с действующим веществом – меглюмина натрия сукцинат** [35, 
43, 66, 67]. 
УДД – 5, УУР – С. 
Комментарии. Показ",," АТФ : иводя к нарушению окислительного фос-
форилирования, синтеза АТФ и энергетическому дефициту в клетке. Не исключено, 
что токс"
КР895,Краниальные мононейропатии у взрослых,"B02.2, G44.0, G50.0, G50.1, G50.8, G50.9, G51.0, G51.1, G51.2, G51.3, G51.4, G51.8, G51.9, G52.0, G52.1, G52.2, G52.3, G52.7, G52.8, G52.9, G53.0, G90.0",Взрослые,"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", ООО «Общество специалистов в области челюстно-лицевой хирургии», Ассоциация специалистов по клинической нейрофизиологии, Некоммерческая организация «Ассоциация интервенционного лечения боли»",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/895_1,"Витамины: левания. Единичные исследования рекомендуют к использованию витамины 
группы В, тиоктовую кислоту. При этом, главную роль играет; Le cran: d Myokymia // StatPearls Publ. 2022. 
18. 
Keane J.R. Multiple Cranial Nerve Palsies // Arch. Neurol. 2005. Vol. 62, № 11. P. 1; Липоевая кислота: казательств – 1) 
 
 
Рекомендуется пациентам с СПР #альфа-липоевая кислота (тиоктовая кислота) с 
целью уменьшения интенсивности болев; Тиоктовая кислота:  
 
Рекомендуется пациентам с СПР #альфа-липоевая кислота (тиоктовая кислота) с 
целью уменьшения интенсивности болевого синдрома [285,2; липоевая кислота: казательств – 1) 
 
 
Рекомендуется пациентам с СПР #альфа-липоевая кислота (тиоктовая кислота) с 
целью уменьшения интенсивности болев; alpha lipoic acid: 11. 
287. Lopez-D alessandro E., Escovich L. Combination of alpha lipoic acid and gabapentin, its 
efficacy in the treatment of Burning M","антиоксидант: ванной радиационным поражением 
 
Рекомендуется назначение антиоксидантов (#альфа-токоферола ацетат (код АТХ - 
A11HA03)) пациентам; психосоматика: терапии 
при параличе Белла // Неврология, нейропсихиатрия, психосоматика. 2011. Vol. 3. P. 
60–64. 
181. Савицкая Н.Г. et al. Возмож"," АТФ : емия, 
приводящая к выбросу алгогенов, таких как брадикинин, АТФ и Н+, а также наличие 
коморбидных эмоционально-аффективных "
КР896,Перелом верхней челюсти и скуловой кости,S02.4,Дети,ООО «Общество специалистов в области челюстно-лицевой хирургии»,26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/896_1,"Metamizole: r M, Eich C, Becke K, Badelt G, Leimkühler K, Dennhardt N. 
Metamizole for Postoperative Pain Therapy in Infants Younger than 1 Ye; Dipyrone: eijden C, Ekhart C, Bos J, Bruhn J, Kramers C. 
Metamizole (Dipyrone) as an Alternative Agent in Postoperative Analgesia in Pati",,
КР894,Гломерулярные болезни: иммуноглобулин А-нефропатия,"N00.1, N00.3, N00.4, N00.7, N00.8, N01.1, N01.3, N01.4, N01.7, N01.8, N02.1, N02.3, N02.4, N02.7, N02.8, N03.1, N03.3, N03.4, N03.7, N03.8, N04.1, N04.3, N04.4, N04.7, N04.8, N06.1, N06.3, N06.4, N06.7, N06.8, N08.2, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9","Взрослые, дети","Союз педиатров России, Творческое объединение детских нефрологов, Национальная Ассоциация нефрологов",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/894_1,,,
КР893,Опухоли невыявленной первичной локализации,"C76, C77, C78, C79, C80, D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47, D48","Взрослые, дети","Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Региональная общественная организация ""Общество Специалистов Поддерживающей Терапии в Онкологии"", Российское общество детских онкологов и гематологов",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/893_1,"Витамины: а, а также парентерального питания, препаратов, 
содержащих витамины и минералы для внутривенного введения [46-47]. 
4. Медицинс",,
КР883,Другие плазмоклеточные новообразования,C90,Взрослые,"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/883_1,,,
КР682,Болезнь Крона,"K50, K52.3, K52.9",Дети,"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/682_2,,,
КР891,Острый бронхит,J20,Взрослые,"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское респираторное общество, Межрегиональная ассоциация специалистов респираторной медицины (МАСРМ)",26.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/891_1,"Ренгалин: студных заболеваний с симптоматической целью. Применяются - ренгалин, или леводро- 
пропизин, или бутамират [25, 26,43].
Уровень; Гвайфенезин: теин**, эрдостеин, комбини­
рованные 
препараты 
(амброксол+гвайфенезин+сальбутамол, 
бромгексин+гвайфене- 
зин+сальбутамол, 
амбро; Ренгалин: студных заболеваний с симптоматической целью. Применяются - ренгалин, или леводро- 
пропизин, или бутамират [25, 26,43].
Уровень; Тимьян: арственные средства (плюща обык­
новенного листьев экстракт+тимьяна травы экстракт, первоцвета весеннего корней
23
экстракт+ти",,
